,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
190,07-Oct-2011,4883.65,4922.6,4861.2,4888.05,198288782,6914.62
191,10-Oct-2011,4886.85,4991.15,4882.05,4979.6,188839545,6247.21
192,11-Oct-2011,5019.9,5045.1,4964.0,4974.35,182038763,6386.8
193,12-Oct-2011,5011.2,5109.8,4997.65,5099.4,188008562,7528.09
194,13-Oct-2011,5130.8,5136.95,5067.65,5077.85,157302816,6319.82
195,14-Oct-2011,5057.35,5141.4,5056.6,5132.3,157781872,6140.27
196,17-Oct-2011,5156.2,5160.2,5084.5,5118.25,130460983,5029.13
197,18-Oct-2011,5049.45,5057.5,5011.05,5037.5,125550565,5148.86
198,19-Oct-2011,5080.45,5148.05,5075.3,5139.15,117468754,4776.09
199,20-Oct-2011,5086.55,5099.0,5033.95,5091.9,119333986,4582.47
200,21-Oct-2011,5106.6,5120.75,5037.95,5049.95,109893599,4733.71
201,24-Oct-2011,5114.7,5145.65,5084.75,5098.35,126073195,4927.43
202,25-Oct-2011,5137.9,5211.0,5085.55,5191.6,221084588,9967.24
203,26-Oct-2011,5214.95,5219.25,5196.15,5201.8,27496887,1059.46
204,28-Oct-2011,5341.9,5399.7,5322.8,5360.7,246078412,9151.2
205,31-Oct-2011,5358.9,5360.25,5314.6,5326.6,149483502,5937.99
206,01-Nov-2011,5278.6,5310.85,5238.3,5257.95,152491922,5651.67
207,02-Nov-2011,5216.75,5300.1,5204.95,5258.45,144375106,4918.34
208,03-Nov-2011,5241.55,5281.6,5201.85,5265.75,160282802,5716.17
209,04-Nov-2011,5325.4,5326.45,5256.8,5284.2,149015829,5401.13
210,08-Nov-2011,5292.25,5304.25,5252.0,5289.35,120652007,4159.75
211,09-Nov-2011,5309.7,5317.5,5211.75,5221.05,146428609,6720.83
212,11-Nov-2011,5159.75,5198.6,5142.25,5168.85,168514208,6929.85
213,14-Nov-2011,5217.35,5228.9,5140.55,5148.35,134448100,5263.81
214,15-Nov-2011,5131.2,5158.75,5052.85,5068.5,149592578,5201.21
215,16-Nov-2011,5059.1,5065.2,4989.5,5030.45,161406885,5757.81
216,17-Nov-2011,5027.1,5036.8,4919.45,4934.75,149238976,5277.65
217,18-Nov-2011,4899.15,4915.9,4837.95,4905.8,192274363,6481.17
218,21-Nov-2011,4873.8,4873.8,4764.8,4778.35,154119333,5509.53
219,22-Nov-2011,4794.85,4854.0,4782.55,4812.35,174212435,6275.86
220,23-Nov-2011,4779.5,4779.5,4640.95,4706.45,178819371,6199.31
221,24-Nov-2011,4707.55,4771.1,4639.1,4756.45,213363083,7327.52
